ramp_sts	 motor_pos	 pos_inc	 motor_dir	 run_flg	 step_delay_us	 step_delay_us_32	 step_no	 step_down	 move	 midpt	 denom	 pos_new	 OCR0	 step_delay_ms
1	 0	 1	 0	 1	 5000	 1280000	 0	 0	 10	 4	 1	 10	 0	 0
1	 1	 1	 0	 1	 3000	 768000	 1	 0	 10	 4	 5	 10	 23	 0
1	 2	 1	 0	 1	 2333	 597334	 2	 0	 10	 4	 9	 10	 18	 0
1	 3	 1	 0	 1	 1974	 505437	 3	 0	 10	 4	 13	 10	 15	 0
1	 4	 1	 0	 1	 1742	 445974	 4	 0	 10	 4	 17	 10	 13	 0
3	 5	 1	 0	 1	 1742	 445974	 5	 0	 10	 4	 -19	 10	 13	 0
3	 6	 1	 0	 1	 1974	 505437	 6	 0	 10	 4	 -15	 10	 15	 0
3	 7	 1	 0	 1	 2333	 597334	 7	 0	 10	 4	 -11	 10	 18	 0
3	 8	 1	 0	 1	 3000	 768000	 8	 0	 10	 4	 -7	 10	 23	 0
3	 9	 1	 0	 1	 5000	 1280000	 9	 0	 10	 4	 -3	 10	 39	 0
4	 10	 1	 0	 1	 5000	 1280000	 10	 0	 10	 4	 -3	 10	 39	 0
0	 10	 1	 0	 0	 5000	 1280000	 10	 0	 10	 4	 -3	 10	 39	 0
